,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
82,Faouzia,Wake Me When It's Over,0.688,0.287,1,-9.732,1,0.0415,0.163,0,0.155,0.0597,124.996,audio_features,3VVHLdkxTCE5aBEdBmogp1,spotify:track:3VVHLdkxTCE5aBEdBmogp1,https://api.spotify.com/v1/tracks/3VVHLdkxTCE5aBEdBmogp1,https://api.spotify.com/v1/audio-analysis/3VVHLdkxTCE5aBEdBmogp1,130680,4
83,Ashe,Me Without You,0.74,0.172,11,-8.669,1,0.0497,0.658,0,0.133,0.664,122.951,audio_features,0Rz810tdw9rgLr9dSMhl9j,spotify:track:0Rz810tdw9rgLr9dSMhl9j,https://api.spotify.com/v1/tracks/0Rz810tdw9rgLr9dSMhl9j,https://api.spotify.com/v1/audio-analysis/0Rz810tdw9rgLr9dSMhl9j,189500,4
84,Alan Walker,Believers,0.649,0.69,8,-5.384,0,0.0296,0.0247,0,0.161,0.593,104.04,audio_features,4bMLBGnjAGVFpjAfIkD0UY,spotify:track:4bMLBGnjAGVFpjAfIkD0UY,https://api.spotify.com/v1/tracks/4bMLBGnjAGVFpjAfIkD0UY,https://api.spotify.com/v1/audio-analysis/4bMLBGnjAGVFpjAfIkD0UY,159078,4
85,Livingston,Atlas,0.678,0.576,10,-5.659,1,0.0607,0.182,0,0.245,0.354,90.083,audio_features,5LSXLVXucZc96jWbt7bGni,spotify:track:5LSXLVXucZc96jWbt7bGni,https://api.spotify.com/v1/tracks/5LSXLVXucZc96jWbt7bGni,https://api.spotify.com/v1/audio-analysis/5LSXLVXucZc96jWbt7bGni,234667,4
86,Dean Lewis,Falling Up - Guitar Acoustic,0.502,0.34,2,-7.509,1,0.133,0.821,0,0.256,0.379,203.376,audio_features,0uJHwPFiLK3MK4CMjVO28W,spotify:track:0uJHwPFiLK3MK4CMjVO28W,https://api.spotify.com/v1/tracks/0uJHwPFiLK3MK4CMjVO28W,https://api.spotify.com/v1/audio-analysis/0uJHwPFiLK3MK4CMjVO28W,196936,4
87,Ashe,Love Is Not Enough,0.567,0.344,7,-8.651,1,0.0291,0.686,0,0.218,0.353,73.912,audio_features,0iMjtK5euENXVYrmeb9y9X,spotify:track:0iMjtK5euENXVYrmeb9y9X,https://api.spotify.com/v1/tracks/0iMjtK5euENXVYrmeb9y9X,https://api.spotify.com/v1/audio-analysis/0iMjtK5euENXVYrmeb9y9X,189251,4
88,Alok,In My Mind,0.629,0.746,0,-5.482,1,0.0401,0.0947,0,0.225,0.425,108.025,audio_features,7uoxJCPiqiEa3fvOQQQbyn,spotify:track:7uoxJCPiqiEa3fvOQQQbyn,https://api.spotify.com/v1/tracks/7uoxJCPiqiEa3fvOQQQbyn,https://api.spotify.com/v1/audio-analysis/7uoxJCPiqiEa3fvOQQQbyn,175556,4
89,Sam Smith,Make It To Me,0.456,0.379,1,-8.573,1,0.0685,0.63,3.1e-06,0.0983,0.225,149.967,audio_features,2uCMaUojwuqr8CRGsLoPa6,spotify:track:2uCMaUojwuqr8CRGsLoPa6,https://api.spotify.com/v1/tracks/2uCMaUojwuqr8CRGsLoPa6,https://api.spotify.com/v1/audio-analysis/2uCMaUojwuqr8CRGsLoPa6,162732,4
90,Daisy the Great,Record Player (with AJR),0.665,0.684,11,-7.049,0,0.106,0.247,0,0.0636,0.927,73.986,audio_features,4jYt1pQqg2mIZmY4FWCZEM,spotify:track:4jYt1pQqg2mIZmY4FWCZEM,https://api.spotify.com/v1/tracks/4jYt1pQqg2mIZmY4FWCZEM,https://api.spotify.com/v1/audio-analysis/4jYt1pQqg2mIZmY4FWCZEM,149538,4
91,John Legend,Conversations in the Dark,0.361,0.357,8,-8.423,0,0.0312,0.704,0,0.219,0.153,122.962,audio_features,0QjQC8sGqxUkaJFBsJjtGm,spotify:track:0QjQC8sGqxUkaJFBsJjtGm,https://api.spotify.com/v1/tracks/0QjQC8sGqxUkaJFBsJjtGm,https://api.spotify.com/v1/audio-analysis/0QjQC8sGqxUkaJFBsJjtGm,235653,4
